Noms humains,Second nom,Troisième nom,Quatrième nom,H/F/Na,ID unique,Morts,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,total_occurrences
Varena,Vanira,Nanira,,FEMME,990,True,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
Varney,,,,HOMME,991,True,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3
A. C.,Sopers,,,,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A’dan,,,,HOMME,2,,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,29
A’murry,,,,HOMME,3,,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,22
Abula,,,,FEMME,4,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Abuna,,,,FEMME,5,,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,23
Adrea,Beljeth,,,FEMME,7,,0,4,0,0,0,5,0,0,0,0,0,0,0,2,11,22
Afnor,,,,HOMME,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
Aida,,,,FEMME,9,,7,4,2,6,1,14,5,1,4,4,1,5,5,8,1,68
Aisling,Hempenstahl,,,,10,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Albuna,,,,,11,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Alda,,,,FEMME,12,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Aleki,,,,HOMME,13,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Alemi,,,,HOMME,15,,0,435,0,0,0,12,0,0,0,97,2,0,0,21,0,567
Alemi,Onclemi,Lemi,,HOMME,14,,0,465,0,0,0,12,0,0,0,97,2,0,0,21,0,597
Alessan,,,,HOMME,16,,0,0,0,595,150,8,0,0,0,0,0,0,0,0,0,753
Alianne,Zulueta,,,FEMME,17,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aliena,Zuleita,,,FEMME,18,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Almie,,,,FEMME,19,,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Amilla,,,,FEMME,20,,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,4
Ampris,,,,HOMME,21,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Anama,,,,FEMME,22,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Anchoran,,,,HOMME,23,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Andemon,,,,HOMME,24,,0,1,0,0,0,0,0,0,50,0,0,0,3,0,0,54
Ander,,,,,25,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Andremon,,,,HOMME,26,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Anella,,,,FEMME,27,,0,0,0,0,51,1,0,0,0,0,0,0,0,0,0,52
Anguille,,,,HOMME,28,,2,0,0,0,0,0,133,0,0,0,0,0,0,0,0,135
Anskono,,,,HOMME,29,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Anta,,,,,30,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Aramina,Mina,Ara,,FEMME,31,,0,81,0,0,0,185,0,0,0,0,0,0,0,11,1,278
Aranya,,,,FEMME,32,,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,13
Arminet,,,,HOMME,34,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
