Noms humains,Second nom,Troisième nom,Quatrième nom,H/F/Na,ID unique,Morts,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,total_occurrences
Barla,,,,FEMME,65,,0,0,0,0,0,28,0,0,0,0,0,0,0,2,0,30
Barly,,,,HOMME,66,True,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3
Barndy,,,,HOMME,67,,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,5
Barr,Hamil,,,FEMME,68,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
Bart,Lemos,,,HOMME,69,,43,1,0,6,2,32,2,4,54,0,1,0,1,13,3,162
Basil,,,,HOMME,70,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bastom,,,,HOMME,71,,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,21
Batim,,,,HOMME,72,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18
Batunon,,,,HOMME,73,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Bay,Harkenon,,,FEMME,74,,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206
Bedda,,,,FEMME,75,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Bedella,,,,FEMME,76,,0,0,0,0,0,1,0,0,8,0,0,0,0,0,3,12
Begamon,,,,HOMME,77,,0,1,0,0,0,0,0,0,0,0,0,0,5,26,0,32
Belesdan,Belesden,,,HOMME,78,,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,6
Belterac,,,,HOMME,79,,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14
Ben,,,,,80,,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,7
Bendarek,,,,HOMME,81,,0,1,0,0,0,2,0,0,16,0,1,0,7,37,1,65
Benelek,,,,HOMME,82,,0,6,0,0,0,1,0,0,0,0,2,0,18,38,6,71
Benini,,,,HOMME,83,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
Benis,,,,HOMME,84,,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,35
Benoria,,,,FEMME,85,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Berchar,Berch,,,HOMME,86,True,0,0,0,40,0,1,0,0,0,0,0,0,0,0,0,41
Berdine,,,,HOMME,87,,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12
Besel,,,,HOMME,88,,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15
Besic,,,,HOMME,89,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
Bessel,,,,HOMME,90,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
