NOMS HUMAINS,SECOND NOM,TROISIEME NOM,NOMS DRAGONS,COULEUR DRAGON,H/F/O,Id unique,Mort,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,total_occurrences,,,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,tot,,
Vesna,,,,,FEMME,262.0,,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,
Lilla,,,,,FEMME,142.0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,
Oma,,,,,FEMME,196.0,,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,
Laura,,,,,FEMME,135.0,,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,
Sarai,,,,,FEMME,221.0,,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,
Almie,,,,,FEMME,10.0,,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,
Danegga,,,,,FEMME,57.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,,,
Margatta,,,Ludeth,reine,FEMME,161.0,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,5,,,,,,,,,,,,,,,,,,,,
Margatta,,,Luduth,,FEMME,161.0,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,5,,,,,,,,,,,,,,,,,,,,
Prilla,,,Selianth,reine,FEMME,205.0,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,5,,,,,,,,,,,,,,,,,,,,
Jissamy,,,,,FEMME,110.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,,,,,,,,,,,,,,,,,,,,
Laela,,,,,FEMME,132.0,,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,
Sirrie,,,,,FEMME,235.0,,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,
Triana,,,,,FEMME,258.0,,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,
Wimmia,,,Torenth,reine,FEMME,266.0,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,
Ferina,,,,,FEMME,84.0,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,
Luccha,,,,,FEMME,149.0,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,
Mesla,,,,,FEMME,173.0,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,
Suze,,,,,FEMME,244.0,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,
Silga,,,Brixth,reine,FEMME,229.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,4,,,,,,,,,,,,,,,,,,,,
Adessa,,,,,FEMME,4.0,True,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,
Barba,,,,,FEMME,21.0,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,
Klada,,,,,FEMME,128.0,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,
Gledia,,,,,FEMME,93.0,True,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,
Sira,,,,,FEMME,234.0,,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,
Cathy,,,,,FEMME,45.0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,
Felicia,,,,,FEMME,82.0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,
Ita,,,,,FEMME,103.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,,,
Solth,,,,,FEMME,237.0,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,
Torene,,,,,FEMME,257.0,,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,
Benoria,,,,,FEMME,28.0,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,
Lissala,,,,,FEMME,143.0,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,
Mardy,,,,,FEMME,159.0,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,
Relna,,,,,FEMME,208.0,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,
Milla,,,,,FEMME,175.0,True,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,
Amilla,,,,,FEMME,12.0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,
Mara,,,,,FEMME,156.0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,
Durras,,,,,FEMME,69.0,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,
Robina,,,,,FEMME,210.0,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,
Chenoa,,,,,FEMME,48.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,
Zalla,,,,,FEMME,268.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,
Celina,,,Lamanth,reine,FEMME,46.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,,,,,,,,,,,,,,,,,,,,
Elimona,,,,,FEMME,71.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,,,,,,,,,,,,,,,,,,,,
Nera,,,,,FEMME,189.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,
Fenela,,,,,FEMME,83.0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,
Isla,,,,,FEMME,102.0,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,
Stolla,,,,,FEMME,241.0,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,
Anama,,,,,FEMME,13.0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,
Fira,,,,,FEMME,85.0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,
Janara,,,,,FEMME,105.0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,
Kista,,,,,FEMME,124.0,True,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,
Merin,,,,,FEMME,172.0,True,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,
Silma,,,,,FEMME,230.0,True,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,
Empie,,,Dulchenth,reine,FEMME,73.0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,
Kamina,,,,,FEMME,118.0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,
Miridan,,,Sutanith,reine,FEMME,176.0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,
Grisella,,,,,FEMME,95.0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,
Lonada,,,,,FEMME,144.0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,
Chio-Chio,,,,,FEMME,50.0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,
Curella,,,,,FEMME,54.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
Delart,,,,,FEMME,61.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
Egara,,,,,FEMME,70.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
Josetta,,,,,FEMME,112.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
Magalia,,,,,FEMME,152.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
Sicca,,,,,FEMME,228.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
Vessa,,,,,FEMME,263.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
Wil,,,,,FEMME,265.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
Bonna,,,,,FEMME,33.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,
Brinna,,,,,FEMME,39.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,
Campila,,,,,FEMME,40.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,
Esrella,,,,,FEMME,74.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,
Faselly,,,,,FEMME,80.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,
Lemsia,,,,,FEMME,136.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,
Abula,,,,,FEMME,2.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Fransman,,,,,FEMME,87.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Bardie,,,,,FEMME,22.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Stella,,,,,FEMME,240.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Kenalas,,,,,FEMME,122.0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Virginia,,,,,FEMME,264.0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Miata,,,,,FEMME,174.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Neilla,,,,,FEMME,187.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Alda,,,,,FEMME,7.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Bedda,,,,,FEMME,26.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Jenfa,,,,,FEMME,109.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Mechalla,,,,,FEMME,165.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Bessera,,,Odioth,reine,FEMME,29.0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Lucil,,,,,FEMME,150.0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Mercia,,,,,FEMME,169.0,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Boranda,,,,,FEMME,34.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Clargesh,,,,,FEMME,51.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Dresda,,,,,FEMME,65.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Holht,,,,,FEMME,100.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Loreana,,,,,FEMME,145.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Namurra,,,Jillith,reine,FEMME,184.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Nattai,,,,,FEMME,186.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Aliena,Zuleita,,,,FEMME,9.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Hally,,,,,FEMME,97.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Kitral,,,,,FEMME,126.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Mislue,,,,,FEMME,178.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Nika,,,,,FEMME,192.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Alianne,Zulueta,,,,FEMME,8.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Lally,Moorhouse,,,,FEMME,133.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Patsy,Swann,,,,FEMME,199.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Sarah,,,,,FEMME,220.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
Amiana,,,,,FEMME,11.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Bana,,,,,FEMME,20.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Duras,,,,,FEMME,68.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Kenelas,,,,,FEMME,123.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Mellora,,,Dalgeth,reine,FEMME,167.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Pendora,,,,,FEMME,200.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Robinton,Rob,Robie,Zair,lézard bronze,HOMME,772.0,True,0,47,0,0,0,212,1756,54,206,34,155,101,457,472,33,3527,,,,,,,,,,,,,,,,,,,,
Jaxom,Jax,,Ruth,blanc,HOMME,562.0,,0,41,0,0,0,126,0,2,232,6,5,4,1368,1179,114,3077,,,,,,,,,,,,,,,,,,,,
F’lar,Falla,Fallarnon,Mnementh,bronze,HOMME,453.0,,0,76,0,0,0,66,80,846,854,16,1,13,406,371,209,2938,,,,,,,,,,,,,,,,,,,,
Piemur,,,Farli,reine,HOMME,740.0,,0,5,0,0,0,568,0,0,0,0,286,751,184,379,10,2183,,,,,,,,,,,,,,,,,,,,
Paul,Benden,,,,HOMME,725.0,,445,32,101,54,8,147,122,50,227,33,36,44,155,76,125,1655,,,,,,,,,,,,,,,,,,,,
F’nor,F’lor,,Grall,doré,HOMME,457.0,,0,0,0,0,0,13,23,245,545,13,16,9,146,32,40,1082,,,,,,,,,,,,,,,,,,,,
Toric,,,,reine,HOMME,886.0,,0,103,0,0,0,452,0,0,7,0,0,92,165,78,161,1058,,,,,,,,,,,,,,,,,,,,
Sebell,Sebel,Sevell,Kimi,reine lézard,HOMME,801.0,,0,45,0,0,0,42,49,0,7,1,209,326,58,161,149,1047,,,,,,,,,,,,,,,,,,,,
F’lessan,,,Golanth,bronze,HOMME,454.0,,0,23,0,0,0,0,0,0,0,0,0,0,30,77,729,859,,,,,,,,,,,,,,,,,,,,
Jayge,Lilcamp,,,,HOMME,564.0,,0,153,0,0,0,636,0,0,0,0,0,0,0,27,7,823,,,,,,,,,,,,,,,,,,,,
L’tol,Lytol,Lytonal,Larth,brun,HOMME,612.0,,0,3,0,0,0,18,11,79,141,0,3,0,236,243,73,807,,,,,,,,,,,,,,,,,,,,
Alessan,,,,,HOMME,276.0,,0,0,0,595,150,0,0,0,0,0,0,0,0,0,0,745,,,,,,,,,,,,,,,,,,,,
Readis,,,,,HOMME,765.0,,0,498,0,0,0,117,0,0,0,0,0,0,0,21,4,640,,,,,,,,,,,,,,,,,,,,
Alemi,Onclemi,Lemi,,,HOMME,275.0,,0,465,0,0,0,12,0,0,0,97,2,0,0,21,0,597,,,,,,,,,,,,,,,,,,,,
Fax,,,,,HOMME,468.0,True,11,3,0,0,0,28,252,251,4,0,0,1,6,4,3,563,,,,,,,,,,,,,,,,,,,,
Fandarel,,,,,HOMME,463.0,,0,39,0,0,0,66,1,35,101,0,1,1,95,211,11,561,,,,,,,,,,,,,,,,,,,,
Sean,Connell,O’Connell,Criket,lézard ,HOMME,800.0,,545,0,6,0,0,0,0,0,0,0,0,0,0,3,0,554,,,,,,,,,,,,,,,,,,,,
N’ton,,,Lioth,bronze,HOMME,689.0,,0,3,0,0,0,24,0,9,90,19,2,35,208,74,66,530,,,,,,,,,,,,,,,,,,,,
Capiam,,,,,HOMME,377.0,,0,0,0,447,60,0,0,0,0,0,3,0,0,0,0,510,,,,,,,,,,,,,,,,,,,,
Ram,Da,,,,HOMME,756.0,,2,12,0,0,0,51,0,11,106,0,0,0,136,127,51,496,,,,,,,,,,,,,,,,,,,,
T’lion,Gaddie,,Gadareth,bronze,HOMME,843.0,,0,476,0,0,0,0,0,0,0,0,0,0,0,0,20,496,,,,,,,,,,,,,,,,,,,,
D’ram,,,Tiroth,bronze,HOMME,415.0,,0,12,0,0,0,51,0,11,106,0,0,0,136,127,51,494,,,,,,,,,,,,,,,,,,,,
Pierre,de Courcis,,,,HOMME,742.0,,58,20,21,25,6,20,16,88,53,14,13,14,82,14,19,463,,,,,,,,,,,,,,,,,,,,
Groghe,,,Merga,reine,HOMME,532.0,,0,15,0,0,0,3,58,0,68,0,76,10,58,78,93,459,,,,,,,,,,,,,,,,,,,,
F’lon,Falloner,,Falarth,brun,HOMME,455.0,True,0,0,0,0,0,0,437,7,0,0,0,0,0,0,0,444,,,,,,,,,,,,,,,,,,,,
Petiron,,,,,HOMME,738.0,True,0,3,0,0,0,0,299,0,0,75,66,0,0,0,0,443,,,,,,,,,,,,,,,,,,,,
Paul,Logorides,,,,HOMME,726.0,,412,0,0,0,0,1,0,0,0,1,1,1,0,1,1,418,,,,,,,,,,,,,,,,,,,,
Ezra,Keroon,,,,HOMME,450.0,,123,2,13,82,16,36,10,25,18,2,0,2,11,13,36,389,,,,,,,,,,,,,,,,,,,,
Jim,Tillek,James,,,HOMME,573.0,True,108,78,13,21,5,7,60,7,28,1,3,2,8,35,13,389,,,,,,,,,,,,,,,,,,,,
Iantine,Ian,,,,HOMME,549.0,,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,377,,,,,,,,,,,,,,,,,,,,
Oldive,,,,,HOMME,706.0,,0,39,0,0,0,9,14,0,0,0,28,50,37,108,68,353,,,,,,,,,,,,,,,,,,,,
Théo,Force,,,,HOMME,871.0,,19,16,31,24,6,29,29,42,20,15,11,24,26,27,28,347,,,,,,,,,,,,,,,,,,,,
Larad,,,,vert,HOMME,618.0,,0,13,0,0,0,103,23,29,68,0,0,0,2,75,14,327,,,,,,,,,,,,,,,,,,,,
T’gellan,,,Monarth,bronze,HOMME,836.0,,0,64,0,0,0,21,0,0,0,104,41,2,4,26,60,322,,,,,,,,,,,,,,,,,,,,
F’lon,,,Simanith,,HOMME,455.0,True,0,0,0,0,0,0,305,7,0,0,0,0,0,0,0,312,,,,,,,,,,,,,,,,,,,,
Chalkin,,,,,HOMME,382.0,,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,303,,,,,,,,,,,,,,,,,,,,
K’vin,Kev,,Charanth,,HOMME,587.0,,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,298,,,,,,,,,,,,,,,,,,,,
Meron,,,,,HOMME,671.0,True,0,0,0,0,0,7,0,28,141,0,1,108,8,1,0,294,,,,,,,,,,,,,,,,,,,,
T’ron,,,,,HOMME,850.0,True,0,0,0,0,0,4,0,46,197,0,0,17,20,2,0,286,,,,,,,,,,,,,,,,,,,,
Asgenar,,,Rial,brun,HOMME,288.0,,0,6,0,0,0,123,0,0,89,0,1,0,4,45,2,270,,,,,,,,,,,,,,,,,,,,
Nabhi,Nabol,,,,HOMME,690.0,,62,2,0,16,1,7,15,15,73,0,1,66,2,6,0,266,,,,,,,,,,,,,,,,,,,,
Pol ,Nietro,,,,HOMME,744.0,,233,0,0,0,17,2,0,0,0,0,0,0,0,0,0,252,,,,,,,,,,,,,,,,,,,,
Paulin,,,,,HOMME,727.0,,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,252,,,,,,,,,,,,,,,,,,,,
Wansor,,,,,HOMME,926.0,,0,1,0,0,0,12,0,0,56,0,1,0,67,16,82,235,,,,,,,,,,,,,,,,,,,,
Tagetarl,Tag,,,,HOMME,855.0,,0,1,0,0,0,0,0,0,6,0,0,1,0,17,200,225,,,,,,,,,,,,,,,,,,,,
Idarolan,Iddie,,,,HOMME,550.0,,0,80,0,0,0,10,6,0,1,0,0,0,26,37,58,218,,,,,,,,,,,,,,,,,,,,
Sh’gall,,,Kadith,bronze,HOMME,808.0,,0,0,0,211,7,0,0,0,0,0,0,0,0,0,0,218,,,,,,,,,,,,,,,,,,,,
Domick,,,,,HOMME,434.0,,0,0,0,0,0,1,2,0,0,0,172,32,0,8,0,215,,,,,,,,,,,,,,,,,,,,
R’gul,Rangul,,Hath,bronze,HOMME,750.0,,0,0,0,0,0,0,35,172,1,0,0,0,0,0,5,213,,,,,,,,,,,,,,,,,,,,
Zi,Ongola,,,,HOMME,938.0,,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,,,,,,,,,,,,,,,,,,,,
Ongola,,,,,HOMME,709.0,,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,,,,,,,,,,,,,,,,,,,,
Gennell,,,,,HOMME,521.0,True,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,194,,,,,,,,,,,,,,,,,,,,
Mekelroy,Pinch,,,,HOMME,668.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,178,,,,,,,,,,,,,,,,,,,,
K’lon ,,,Rogeth,bleu,HOMME,583.0,,0,0,0,174,1,0,0,0,0,0,0,0,0,0,0,175,,,,,,,,,,,,,,,,,,,,
Tolocamp,,,,,HOMME,883.0,,0,0,0,124,46,0,0,0,0,0,0,0,0,0,0,170,,,,,,,,,,,,,,,,,,,,
Camo,,,,,HOMME,372.0,,0,12,0,0,0,0,11,0,0,0,140,6,0,0,0,169,,,,,,,,,,,,,,,,,,,,
Clisser,Cliss,,,,HOMME,395.0,,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,165,,,,,,,,,,,,,,,,,,,,
Elgion,,,,,HOMME,441.0,,0,0,0,0,0,0,0,0,0,154,8,0,0,0,0,162,,,,,,,,,,,,,,,,,,,,
Bart,Lemos,,,,HOMME,309.0,,43,1,0,6,2,31,2,4,54,0,1,0,1,13,3,161,,,,,,,,,,,,,,,,,,,,
K’van,,,Heth,bronze,HOMME,586.0,,0,31,0,0,0,49,0,0,0,0,0,0,1,29,34,144,,,,,,,,,,,,,,,,,,,,
T’kul,,,Salth,bronze,HOMME,840.0,True,0,0,0,0,0,19,0,0,62,0,0,4,59,0,0,144,,,,,,,,,,,,,,,,,,,,
M’shall,,,Craigath,,HOMME,647.0,,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,143,,,,,,,,,,,,,,,,,,,,
Tirone,,,,,HOMME,882.0,,0,0,0,112,28,0,0,0,0,0,0,0,0,0,0,140,,,,,,,,,,,,,,,,,,,,
B’lerion,,,Nadeth,bronze,HOMME,293.0,,0,0,0,115,23,0,0,0,0,0,0,0,0,0,0,138,,,,,,,,,,,,,,,,,,,,
Erragon,,,,,HOMME,446.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,137,,,,,,,,,,,,,,,,,,,,
Raid,,,,,HOMME,754.0,,0,0,0,0,0,20,61,1,45,0,0,1,2,2,3,135,,,,,,,,,,,,,,,,,,,,
Anguille,,,,,HOMME,281.0,,2,0,0,0,0,0,133,0,0,0,0,0,0,0,0,135,,,,,,,,,,,,,,,,,,,,
Shonagar,,,,,HOMME,815.0,,0,0,0,0,0,1,34,0,0,0,60,35,0,1,0,131,,,,,,,,,,,,,,,,,,,,
Tuero,,,,,HOMME,900.0,,0,0,0,82,44,0,0,0,0,0,0,0,0,0,0,126,,,,,,,,,,,,,,,,,,,,
Yanus,,,,,HOMME,934.0,,0,7,0,0,0,0,0,0,0,107,11,0,0,0,0,125,,,,,,,,,,,,,,,,,,,,
Felessan,Fesselan,,,,HOMME,471.0,,0,0,0,0,0,0,0,0,106,0,1,10,7,0,0,124,,,,,,,,,,,,,,,,,,,,
P’tero,,,Ormonth,bleu,HOMME,716.0,,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,122,,,,,,,,,,,,,,,,,,,,
Ted ,Tubberman,Tubbermann,,,HOMME,864.0,True,112,0,5,0,0,0,0,0,0,0,0,0,0,0,3,120,,,,,,,,,,,,,,,,,,,,
Ned,Tubberman,,,,HOMME,694.0,,107,0,4,0,0,0,0,0,0,0,0,0,0,0,3,114,,,,,,,,,,,,,,,,,,,,
Persellan,,,,,HOMME,732.0,,0,102,0,0,0,0,0,0,0,0,0,0,0,0,10,112,,,,,,,,,,,,,,,,,,,,
Sangel,,,,,HOMME,796.0,,0,2,0,0,0,4,3,0,39,0,4,0,23,20,13,108,,,,,,,,,,,,,,,,,,,,
Esselin,,,,,HOMME,447.0,True,0,0,0,0,0,29,0,0,0,0,0,0,0,44,32,105,,,,,,,,,,,,,,,,,,,,
G’ron,Giron,,,bleu,HOMME,501.0,,0,0,1,0,1,100,0,0,0,0,1,0,0,0,2,105,,,,,,,,,,,,,,,,,,,,
