NOMS HUMAINS,SECOND NOM,TROISIEME NOM,NOMS DRAGONS,COULEUR DRAGON,H/F/O,Id unique,Mort,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,total_occurrences,,,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,tot,,
Kasia,,,,,FEMME,119.0,True,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,198,,,Sallah ,Menolly,Zulaya,Sh’gall,Capiam,Robinton,Petiron,R’gul,Jaxom,T’gellan,Domick,Robinton,Lessa,Lessa,Tagetarl,Lessa,,
Zulaya,,,Meranath,reine,FEMME,269.0,,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,178,,,Emily,Toric,Debera,K’lon ,Anella,Aramina,Fax,Pierre,Kylara,Alemi,Robinton,Toric,L’tol,Sharra,Mekelroy,Piemur,,
Oklina,,,Hannath,reine,FEMME,195.0,,0,0,0,100,72,0,0,0,0,0,0,0,0,0,0,172,,,Pol ,Persellan,Clisser,Desdra,Tolocamp,Sharra,Kasia,L’tol,Paul,Mavi,Camo,Dirzan,Sharra,L’tol,Toric,Paul,,
Debera,Deb,,Morath,,FEMME,59.0,,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,172,,,Sabra,Lessa,Avril,Tolocamp,Tuero,Paul,Gennell,Manora,Robinton,Petiron,Dunca,Silvina,N’ton,Fandarel,Sebell,Moreta,,
Rill,Nerilka,,,,FEMME,209.0,,0,0,0,38,89,0,0,0,0,11,0,0,0,0,0,138,,,Bay,Aramina,M’shall,B’lerion,Moreta,Jancis,Anguille,Gemma,T’ron,Manora,Audiva,Nabhi,Piemur,Jancis,Erragon,F’nor,,
Mary,Tubberman,,,,FEMME,163.0,,108,0,4,0,0,0,0,0,0,0,0,0,0,0,3,115,,,Zi,Idarolan,P’tero,Tirone,Campen,Jaxom,Paul,Robinton,T’bor,Sella,Pona,Oldive,Toric,Sebell,Paul,Toric,,
Kit,Ping,Kitti,,,FEMME,125.0,,113,0,0,0,0,0,0,0,0,0,0,0,0,2,0,115,,,,,,,,,,,,,,,,,,,,
Mardra,,,Loranth,reine,FEMME,158.0,,0,0,0,0,0,18,0,25,46,0,0,5,4,2,0,100,,,,,,,,,,,,,,,,,,,,
Dunca,,,,,FEMME,67.0,,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,98,,,,,,,,,,,,,,,,,,,,
Temma,,,,,FEMME,253.0,,0,36,0,0,0,62,0,0,0,0,0,0,0,0,0,98,,,,,,,,,,,,,,,,,,,,
Lucy,Tubberman,,,,FEMME,151.0,True,88,0,4,0,0,0,0,0,0,0,0,0,0,0,3,95,,,,,,,,,,,,,,,,,,,,
Fleur,du Vent,,,,FEMME,86.0,,67,1,3,2,0,1,2,3,0,5,0,1,3,1,3,92,,,,,,,,,,,,,,,,,,,,
Tisha,,,,,FEMME,256.0,,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,87,,,,,,,,,,,,,,,,,,,,
Mavi,,,,,FEMME,164.0,,0,1,0,0,0,0,0,0,0,84,1,0,0,0,0,86,,,,,,,,,,,,,,,,,,,,
Nesso,,,,,FEMME,190.0,,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,86,,,,,,,,,,,,,,,,,,,,
Audiva,,,,,FEMME,17.0,,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,78,,,,,,,,,,,,,,,,,,,,
Pona,,,,,FEMME,204.0,,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,78,,,,,,,,,,,,,,,,,,,,
Gemma,,,,,FEMME,90.0,True,0,0,0,0,0,1,15,56,2,0,0,0,2,0,0,76,,,,,,,,,,,,,,,,,,,,
Betrice,,,,,FEMME,31.0,True,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,73,,,,,,,,,,,,,,,,,,,,
Aida,,,,,FEMME,6.0,,7,4,2,6,1,14,5,1,4,4,1,5,5,8,1,68,,,,,,,,,,,,,,,,,,,,
Mari,,,,,FEMME,162.0,,4,2,13,1,5,12,19,0,0,0,1,0,0,5,1,63,,,,,,,,,,,,,,,,,,,,
Juvana,,,,,FEMME,115.0,,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,58,,,,,,,,,,,,,,,,,,,,
Jora,,,Nemorth,reine,FEMME,111.0,True,0,0,0,0,0,0,33,24,0,0,0,0,0,0,0,57,,,,,,,,,,,,,,,,,,,,
Maizella,,,,,FEMME,154.0,,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,57,,,,,,,,,,,,,,,,,,,,
Dowell,,,,,FEMME,64.0,True,0,0,0,0,0,53,0,0,0,0,0,0,0,2,0,55,,,,,,,,,,,,,,,,,,,,
Halanna,,,,,FEMME,96.0,,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,54,,,,,,,,,,,,,,,,,,,,
Ginia,,,,,FEMME,91.0,,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,52,,,,,,,,,,,,,,,,,,,,
Sella,,,,,FEMME,224.0,,0,0,0,1,0,1,1,0,0,47,1,0,0,0,0,51,,,,,,,,,,,,,,,,,,,,
Anella,,,,,FEMME,14.0,,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,51,,,,,,,,,,,,,,,,,,,,
Falga,,,Tamianth,reine,FEMME,77.0,,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,51,,,,,,,,,,,,,,,,,,,,
Lorra,,,,,FEMME,146.0,,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,48,,,,,,,,,,,,,,,,,,,,
Rosheen,,,Ola,reine,FEMME,211.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,,,,,,,,,,,,,,,,,,,,
Hayara,,,,,FEMME,99.0,,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,46,,,,,,,,,,,,,,,,,,,,
Catherine,Radelin,Doyle,,dorée,FEMME,44.0,True,21,1,0,0,0,0,0,0,0,0,0,0,0,13,10,45,,,,,,,,,,,,,,,,,,,,
Bethany,,,,,FEMME,30.0,,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,44,,,,,,,,,,,,,,,,,,,,
Cherry,Duff,,,,FEMME,49.0,,38,0,6,0,0,0,0,0,0,0,0,0,0,0,0,44,,,,,,,,,,,,,,,,,,,,
Keita,,,,,FEMME,121.0,,0,0,0,0,0,4,0,0,0,0,0,0,0,0,39,43,,,,,,,,,,,,,,,,,,,,
Corana,,,,,FEMME,52.0,,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,43,,,,,,,,,,,,,,,,,,,,
Tarrie,Chernoff,,,,FEMME,250.0,,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,,,,,,,,,,,,,,,,,,,,
Pilgra,,,Selgrith,reine,FEMME,203.0,,0,0,0,0,0,0,0,0,10,0,0,0,0,0,32,42,,,,,,,,,,,,,,,,,,,,
Ramala,,,,,FEMME,206.0,,0,1,0,0,0,31,0,0,0,0,0,0,0,1,9,42,,,,,,,,,,,,,,,,,,,,
Suriana,,,,,FEMME,243.0,True,0,0,0,4,29,0,0,0,0,0,0,0,0,0,0,33,,,,,,,,,,,,,,,,,,,,
Irene,,,,,FEMME,101.0,,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,31,,,,,,,,,,,,,,,,,,,,
Kami,,,,,FEMME,116.0,,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,31,,,,,,,,,,,,,,,,,,,,
Barla,,,,,FEMME,23.0,,0,0,0,0,0,28,0,0,0,0,0,0,0,2,0,30,,,,,,,,,,,,,,,,,,,,
Mairi,,,,,FEMME,153.0,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,,,,,,,,,,,,,,,,,,
Barr,Hamil,,,,FEMME,24.0,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,,,,,,,,,,,,,,,,,,,,
Talina,,,Arwith,,FEMME,249.0,,0,0,0,0,0,0,0,0,15,0,1,0,0,0,12,28,,,,,,,,,,,,,,,,,,,,
Felena,,,,,FEMME,81.0,,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,28,,,,,,,,,,,,,,,,,,,,
Sim,,,,,FEMME,233.0,,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,28,,,,,,,,,,,,,,,,,,,,
Kathy,Duff,,,or,FEMME,120.0,,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,,,,,,,,,,,,,,,,,,,,
Chaila,Zavior,Kimmage,,,FEMME,47.0,,7,0,0,0,0,20,0,0,0,0,0,0,0,0,0,27,,,,,,,,,,,,,,,,,,,,
