Id unique,NOMS HUMAINS,SECOND NOM,TROISIEME NOM,aliases
132.0,Laela,,,Laela
133.0,Lally,Moorhouse,,Lally Moorhouse | Moorhouse | Lally
134.0,Larna,Lama,,Larna Lama | Larna | Lama
135.0,Laura,,,Laura
136.0,Lemsia,,,Lemsia
137.0,Leri,,,Leri
138.0,Lessa,,,Lessa
139.0,Levalla,,,Levalla
140.0,Libby,,,Libby
141.0,Lidora,,,Lidora
142.0,Lilla,,,Lilla
143.0,Lissala,,,Lissala
144.0,Lonada,,,Lonada
145.0,Loreana,,,Loreana
146.0,Lorra,,,Lorra
147.0,Lotricia,,,Lotricia
148.0,Lotricia,,,Lotricia
149.0,Luccha,,,Luccha
150.0,Lucil,,,Lucil
151.0,Lucy,Tubberman,,Lucy Tubberman | Tubberman | Lucy
152.0,Magalia,,,Magalia
153.0,Mairi,,,Mairi
154.0,Maizella,,,Maizella
155.0,Manora,,,Manora
156.0,Mara,,,Mara
157.0,Marcine,,,Marcine
158.0,Mardra,,,Mardra
159.0,Mardy,,,Mardy
160.0,Marella,,,Marella
161.0,Margatta,,,Margatta
161.0,Margatta,,,Margatta
162.0,Mari,,,Mari
163.0,Mary,Tubberman,,Mary Tubberman | Tubberman | Mary
164.0,Mavi,,,Mavi
165.0,Mechalla,,,Mechalla
166.0,Medda,,,Medda
167.0,Mellora,,,Mellora
168.0,Menolly,Nolly,Monolly,Menolly Nolly Monolly | Menolly Monolly | Menolly Nolly | Nolly Monolly | Menolly | Monolly | Nolly
168.0,Menolly,,,Menolly
168.0,Menolly,,,Menolly
168.0,Menolly,,,Menolly
168.0,Menolly,,,Menolly
168.0,Menolly,,,Menolly
168.0,Menolly,,,Menolly
168.0,Menolly,,,Menolly
168.0,Menolly,,,Menolly
168.0,Menolly,,,Menolly
169.0,Mercia,,,Mercia
170.0,Merelan,,,Merelan
171.0,Merika,,,Merika
172.0,Merin,,,Merin
173.0,Mesla,,,Mesla
174.0,Miata,,,Miata
175.0,Milla,,,Milla
176.0,Miridan,,,Miridan
177.0,Mirrim,,,Mirrim
177.0,Mirrim,,,Mirrim
177.0,Mirrim,,,Mirrim
177.0,Mirrim,,,Mirrim
178.0,Mislue,,,Mislue
179.0,Moreta,Moretta,,Moreta Moretta | Moretta | Moreta
180.0,Murda,,,Murda
181.0,Nadira,,,Nadira
182.0,Nadona,,,Nadona
183.0,Nalka,,,Nalka
184.0,Namurra,,,Namurra
185.0,Nataly,,,Nataly
186.0,Nattai,,,Nattai
187.0,Neilla,,,Neilla
188.0,Neldama,,,Neldama
189.0,Nera,,,Nera
190.0,Nesso,,,Nesso
191.0,Nia,,,Nia
192.0,Nika,,,Nika
193.0,Nora,Sejby,,Nora Sejby | Sejby | Nora
194.0,Nyassa,Clissmann,,Nyassa Clissmann | Clissmann | Nyassa
195.0,Oklina,,,Oklina
196.0,Oma,,,Oma
197.0,Orna,,,Orna
198.0,Palla,,,Palla
199.0,Patsy,Swann,,Patsy Swann | Patsy | Swann
200.0,Pendora,,,Pendora
201.0,Pendra,,,Pendra
202.0,Pessia,,,Pessia
203.0,Pilgra,,,Pilgra
204.0,Pona,,,Pona
205.0,Prilla,,,Prilla
206.0,Ramala,,,Ramala
207.0,Rannelly,Rannely,,Rannelly Rannely | Rannelly | Rannely
208.0,Relna,,,Relna
209.0,Rill,Nerilka,,Rill Nerilka | Nerilka | Rill
210.0,Robina,,,Robina
211.0,Rosheen,,,Rosheen
212.0,Sabra,Ongola,Stein,Sabra Ongola Stein | Ongola Stein | Sabra Ongola | Sabra Stein | Ongola | Sabra | Stein
213.0,Saday,,,Saday
214.0,Sagassy,,,Sagassy
215.0,Salda,,,Salda
216.0,Sallah,,,Sallah
217.0,Sallah ,Telgar-Andiyar,,Sallah Telgar-Andiyar | Telgar-Andiyar | Sallah
218.0,Sallisha,,,Sallisha
219.0,Sanra,,,Sanra
220.0,Sarah,,,Sarah
221.0,Sarai,,,Sarai
222.0,Sarra,,,Sarra
223.0,Segoina,,,Segoina
224.0,Sella,,,Sella
225.0,Sharra,,,Sharra
225.0,Sharra,,,Sharra
226.0,Sharra,Sharrie,,Sharra Sharrie | Sharrie | Sharra
227.0,Shavva,Fahroud,,Shavva Fahroud | Fahroud | Shavva
228.0,Sicca,,,Sicca
229.0,Silga,,,Silga
230.0,Silma,,,Silma
231.0,Silvana,,,Silvana
232.0,Silvina,,,Silvina
233.0,Sim,,,Sim
234.0,Sira,,,Sira
235.0,Sirrie,,,Sirrie
236.0,Sitta,,,Sitta
237.0,Solth,,,Solth
238.0,Soreel,,,Soreel
239.0,Sorka,,,Sorka
239.0,Sorka,,,Sorka
240.0,Stella,,,Stella
241.0,Stolla,,,Stolla
242.0,Sue,Havers,,Sue Havers | Havers | Sue
243.0,Suriana,,,Suriana
244.0,Suze,,,Suze
245.0,Svenda,Olubushtu,,Svenda Olubushtu | Olubushtu | Svenda
246.0,Sydra,,,Sydra
247.0,T’bor,,,T’bor
248.0,Tai,,,Tai
249.0,Talina,,,Talina
250.0,Tarrie,Chernoff,,Tarrie Chernoff | Chernoff | Tarrie
251.0,Tela,,,Tela
252.0,Tellani,,,Tellani
253.0,Temma,,,Temma
254.0,Tenna,,,Tenna
255.0,Thea,,,Thea
256.0,Tisha,,,Tisha
257.0,Torene,,,Torene
258.0,Triana,,,Triana
259.0,Tumara,,,Tumara
260.0,Valli,Lieb,,Valli Lieb | Valli | Lieb
261.0,Varena,Vanira,Nanira,Varena Vanira Nanira | Vanira Nanira | Varena Nanira | Varena Vanira | Nanira | Vanira | Varena
262.0,Vesna,,,Vesna
263.0,Vessa,,,Vessa
264.0,Virginia,,,Virginia
265.0,Wil,,,Wil
266.0,Wimmia,,,Wimmia
267.0,Winalla,,,Winalla
268.0,Zalla,,,Zalla
269.0,Zulaya,,,Zulaya
270.0,A’dan,,,A’dan
271.0,A’murry,,,A’murry
272.0,Afnor,,,Afnor
273.0,Aleki,,,Aleki
274.0,Alemi,,,Alemi
275.0,Alemi,Onclemi,Lemi,Alemi Onclemi Lemi | Alemi Onclemi | Onclemi Lemi | Alemi Lemi | Onclemi | Alemi | Lemi
276.0,Alessan,,,Alessan
277.0,Ampris,,,Ampris
278.0,Anchoran,,,Anchoran
279.0,Andemon,,,Andemon
280.0,Andremon,,,Andremon
281.0,Anguille,,,Anguille
282.0,Anskono,,,Anskono
283.0,Armald,,,Armald
284.0,Arminet,,,Arminet
285.0,Armor,,,Armor
286.0,Arnor,,,Arnor
287.0,Arthied,Desi,,Arthied Desi | Arthied | Desi
288.0,Asgenar,,,Asgenar
289.0,Ashmichel,,,Ashmichel
290.0,Athpathis,,,Athpathis
291.0,Azury,,,Azury
292.0,B’dor,,,B’dor
293.0,B’lerion,,,B’lerion
294.0,B’naj,,,B’naj
295.0,B’ner,,,B’ner
296.0,B’nurrin,,,B’nurrin
297.0,B’rant,,,B’rant
298.0,B’zon,,,B’zon
299.0,Bahka,,,Bahka
300.0,Baid,,,Baid
301.0,Baldor,,,Baldor
302.0,Balfor,,,Balfor
303.0,Banak,,,Banak
304.0,Banger,,,Banger
305.0,Bantur,,,Bantur
306.0,Bargen,,,Bargen
307.0,Barly,,,Barly
308.0,Barndy,,,Barndy
309.0,Bart,Lemos,,Bart Lemos | Lemos | Bart
310.0,Basil,,,Basil
311.0,Bastom,,,Bastom
312.0,Batim,,,Batim
313.0,Batunon,,,Batunon
314.0,Becky,Nielsen,,Becky Nielsen | Nielsen | Becky
315.0,Begamon,,,Begamon
