NOMS HUMAINS,SECOND NOM,TROISIEME NOM,NOMS DRAGONS,COULEUR DRAGON,H/F/O,Id unique,Mort,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,book_9,book_10,book_11,book_12,book_13,book_14,book_15,total_occurrences
Dugall,,,,,HOMME,438.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Dulsay,,,,,FEMME,66.0,,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,15
Dunca,,,,,FEMME,67.0,,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,98
Dunegrine,,,,,,957.0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Durak,,,,,,958.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Duras,,,,,FEMME,68.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durras,,,,,FEMME,69.0,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Dushik,,,,,HOMME,439.0,,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,65
Eddik,,,,,HOMME,440.0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Effram,,,,,,959.0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Egara,,,,,FEMME,70.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Elgion,,,,,HOMME,441.0,,0,0,0,0,0,0,0,0,0,154,8,0,0,0,0,162
Elimona,,,,,FEMME,71.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Emilin,,,,,HOMME,442.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Emily,Boll,Em,,,FEMME,72.0,,245,6,10,14,5,10,13,3,22,0,5,1,4,7,31,376
Empie,,,Dulchenth,reine,FEMME,73.0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Emsor,,,,,HOMME,443.0,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Eric,Hegelman,,,,HOMME,444.0,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Erkin,,,,,HOMME,445.0,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
Erragon,,,,,HOMME,446.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,137
Esrella,,,,,FEMME,74.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Esselin,,,,,HOMME,447.0,True,0,0,0,0,0,29,0,0,0,0,0,0,0,44,32,105
Evan,,,,,FEMME,75.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16
Evarel,,,,,HOMME,448.0,,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,18
Evelene,,,,,FEMME,76.0,,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6
Evenek,,,,,HOMME,449.0,,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,17
Ezra,Keroon,,,,HOMME,450.0,,123,2,13,82,16,36,10,25,18,2,0,2,11,13,36,389
F’duril,,,Dilenth,bleu,HOMME,451.0,,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,21
F’gal,,,Sanalth,bronze,HOMME,452.0,,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15
F’lar,Falla,Fallarnon,Mnementh,bronze,HOMME,453.0,,0,76,0,0,0,66,80,846,854,16,1,13,406,371,209,2938
F’lessan,,,Golanth,bronze,HOMME,454.0,,0,23,0,0,0,0,0,0,0,0,0,0,30,77,729,859
F’lon,Falloner,,Falarth,brun,HOMME,455.0,True,0,0,0,0,0,0,437,7,0,0,0,0,0,0,0,444
F’lon,,,Simanith,,HOMME,455.0,True,0,0,0,0,0,0,305,7,0,0,0,0,0,0,0,312
F’neldril,,,Mnanth,brun,HOMME,456.0,,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,20
F’nor,F’lor,,Grall,doré,HOMME,457.0,,0,0,0,0,0,13,23,245,545,13,16,9,146,32,40,1082
F’nor,,,Canth,brun,HOMME,457.0,,0,0,0,0,0,13,23,245,545,12,16,9,146,32,40,1081
F’rad,,,Telorth,vert,HOMME,458.0,,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
F’tol,,,,,HOMME,459.0,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
Fabry,,,,,,960.0,,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Facenden,,,,,HOMME,460.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3
Falawny,,,,,HOMME,461.0,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Falga,,,Tamianth,reine,FEMME,77.0,,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,51
Famanoran,,,,,HOMME,462.0,,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6
Famira,,,,vert,FEMME,78.0,,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11
Fandarel,,,,,HOMME,463.0,,0,39,0,0,0,66,1,35,101,0,1,1,95,211,11,561
Fanna,,,Mirath,reine,FEMME,79.0,True,0,0,0,0,0,1,0,0,5,0,0,0,8,0,0,14
Farelly,,,,,,961.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Farevene,,,,,HOMME,464.0,True,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16
Farley,,,,,HOMME,465.0,,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
Farnol,,,,,HOMME,466.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Faroguy,,,,,HOMME,467.0,True,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,41
Faselly,,,,,FEMME,80.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Fax,,,,,HOMME,468.0,True,11,3,0,0,0,28,252,251,4,0,0,1,6,4,3,563
Federen,,,,,HOMME,469.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Feldon,,,,,HOMME,470.0,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Felena,,,,,FEMME,81.0,,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,28
Felessan,Fesselan,,,,HOMME,471.0,,0,0,0,0,0,0,0,0,106,0,1,10,7,0,0,124
Felicia,,,,,FEMME,82.0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Felim,,,,,HOMME,472.0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15
Fellek,,,,,HOMME,473.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fender,,,,,HOMME,474.0,,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,5
Fenela,,,,,FEMME,83.0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
Ferfar,,,,,HOMME,475.0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
Fergal,,,,,HOMME,476.0,,0,0,0,15,28,0,0,0,0,0,0,0,0,0,0,43
Ferina,,,,,FEMME,84.0,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5
Fesnal,,,,,HOMME,477.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Fidello,,,,,HOMME,478.0,,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17
Filatric,,,,,HOMME,479.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Finder,,,,,HOMME,480.0,,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14
Fira,,,,,FEMME,85.0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Fitatric,,,,,HOMME,481.0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Fleur,du Vent,,,,FEMME,86.0,,67,1,3,2,0,1,2,3,0,5,0,1,3,1,3,92
Florist,,,,,HOMME,482.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Follen,,,,,HOMME,483.0,,0,0,0,29,5,0,0,0,0,0,0,0,0,0,0,34
Fondarel,,,,,HOMME,484.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Forris,,,,,,962.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Fortine,,,,,HOMME,485.0,,0,0,0,37,6,0,0,0,0,0,0,0,0,0,2,45
Fosdak,,,,,HOMME,486.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
Franco,,,,,HOMME,487.0,,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13
Fransman,,,,,FEMME,87.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Frenkal,,,,,HOMME,488.0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Fromelin,,,,,HOMME,489.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Fulmar,Stone,,,,HOMME,490.0,,42,0,2,0,0,0,0,0,0,0,0,0,0,0,0,44
Furet,,,,,HOMME,491.0,,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24
Furlo,,,,,HOMME,492.0,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
G’bear,,,,,,963.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
G’bol,,,Mirreth,,HOMME,493.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
G’dened,G’neded,,Baranth,bronze,HOMME,494.0,,0,8,0,0,0,0,0,0,0,0,0,0,12,2,60,82
G’don,,,,,HOMME,495.0,,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,22
G’drel,,,Dirianth,bronze,HOMME,496.0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
G’lanar,,,Lamoth,,HOMME,497.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,34
G’nag,,,Nelanth,bleu,HOMME,498.0,,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
G’narish,,,Gyamath,bronze,HOMME,499.0,,0,1,0,0,0,0,0,0,69,0,0,2,5,1,11,89
G’ranad,,,,,HOMME,500.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
G’rannat,,,,vert,,964.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
G’ron,Giron,,,bleu,HOMME,501.0,,0,0,1,0,1,100,0,0,0,0,1,0,0,0,2,105
G’sel,,,Roth,vert,HOMME,502.0,,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,18
G’sel,,,Rill,lézard bronze,HOMME,502.0,,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,18
G’sel ,,,,bronze,HOMME,502.0,,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,18
Gabin,,,,,HOMME,503.0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
Gabred,,,,,HOMME,504.0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Gaby,,,,,HOMME,505.0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Gallardy,,,,,FEMME,88.0,,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11
Gallen,,,,,,965.0,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
Gallian,Galli,,,,HOMME,506.0,,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,39
Galnich,Galnish,,,,,966.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Galter,,,,,,967.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Gana,,,,,FEMME,89.0,,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
Gandidan,Gandiran,,,,HOMME,507.0,,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
Ganmar,,,,,HOMME,508.0,,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13
Garben,,,,,HOMME,509.0,,16,1,1,0,3,2,0,0,0,0,0,0,0,0,0,23
Gardillon,,,,,HOMME,510.0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Gardner,,,,,HOMME,511.0,,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7
Gardrow,,,,,HOMME,512.0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
Garm,,,,,HOMME,513.0,,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24
Garrel,,,,,HOMME,514.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Garrel,,,,,HOMME,515.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Gayton,,,,,HOMME,516.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Gedenase,,,,,HOMME,517.0,,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
Geger,,,,,HOMME,518.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
Gellim,,,,,HOMME,519.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Gemma,,,,,FEMME,90.0,True,0,0,0,0,0,1,15,56,2,0,0,0,2,0,0,76
Genjon,,,,,HOMME,520.0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Gennell,,,,,HOMME,521.0,True,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,194
Germathen,,,,,HOMME,522.0,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
Gifflen,,,,,HOMME,523.0,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
Ginia,,,,,FEMME,91.0,,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,52
Gisa,,,,,FEMME,92.0,,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7
Glammie,,,,,,968.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Glay,,,,,,969.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Gledia,,,,,FEMME,93.0,True,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
Gomalsi,,,,,HOMME,524.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
Gorazde,,,,,HOMME,525.0,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Gorby,,,,,HOMME,526.0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Gorta,,,,,,970.0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
Gostol,,,,,HOMME,527.0,,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,21
Gram,,,,,HOMME,528.0,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
Grasella,,,,,,971.0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Greg,Keating,,,,,972.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Greta,,,,,FEMME,94.0,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Grevil,,,,,HOMME,529.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Grisella,,,,,FEMME,95.0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Grodon,,,,,HOMME,530.0,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
Grogellan,,,,,HOMME,531.0,True,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,33
Groghe,,,,,HOMME,532.0,,0,15,0,0,0,3,58,0,68,0,76,10,58,78,93,459
Groghe,,,Merga,reine,HOMME,532.0,,0,15,0,0,0,3,58,0,68,0,76,10,58,78,93,459
Gyorgy,,,,,HOMME,533.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
H’ages,,,Kerth,bronze,,973.0,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
H’grave,,,Hallath,vert,,974.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
H’mar,,,,,HOMME,534.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
H’nalt,,,,,HOMME,535.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
H’nor,,,,brun,HOMME,536.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
H’redan,,,,,,975.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Halanna,,,,,FEMME,96.0,,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,54
Halefor,,,,,HOMME,537.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Halibran,,,,,HOMME,538.0,,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16
Haligon,,,,,HOMME,539.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,83
Hally,,,,,FEMME,97.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hamian,,,,,HOMME,540.0,,0,5,0,0,0,51,0,0,0,0,0,0,0,43,3,102
Haura,,,Werth,reine,FEMME,98.0,,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,16
Hayara,,,,,FEMME,99.0,,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,46
Hayon,,,,,HOMME,541.0,,1,0,0,0,0,0,26,0,0,0,0,1,0,0,0,28
Hedelman,,,,,,976.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Hegmon,,,,,HOMME,542.0,,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20
Heinrich,,,,,,977.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Helly,,,,,HOMME,543.0,,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15
Hillegel,,,,,HOMME,544.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Hittet,,,,,HOMME,545.0,,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11
Hobson,,,,,HOMME,546.0,,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Holht,,,,,FEMME,100.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Horon,,,,,HOMME,547.0,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,19,21
Hosbon,,,,,HOMME,548.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
Iantine,Ian,,,,HOMME,549.0,,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,377
Idarolan,Iddie,,,,HOMME,550.0,,0,80,0,0,0,10,6,0,1,0,0,0,26,37,58,218
Idoralan,,,,,HOMME,551.0,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Ifor,,,,,HOMME,552.0,,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,11
Irene,,,,,FEMME,101.0,,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,31
Irtine,,,,,,978.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Isla,,,,,FEMME,102.0,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Issony,,,,,HOMME,553.0,,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,32
Ita,,,,,FEMME,103.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Ivan,le Terrible,,,,HOMME,554.0,,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4
J’dar,,,,,HOMME,555.0,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5
J’fery,,,Willerth,bronze,HOMME,556.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
J’lono,,,,,,979.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
J’ralt,Jeralte,,Palanth,,HOMME,557.0,,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
Jacob,Chernoff,,,,HOMME,558.0,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Jake,Chernoff,,,,HOMME,559.0,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
Jallora,,,,,FEMME,104.0,,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,27
Jamson,,,,,HOMME,560.0,,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,85
Janara,,,,,FEMME,105.0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Jancis,,,,,FEMME,106.0,,0,2,0,0,0,138,0,0,0,0,0,0,0,176,10,326
Jane,,,,,FEMME,107.0,,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11
Janissian,,,,,FEMME,108.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21
Jarrol,,,,,HOMME,561.0,,0,1,0,0,0,1,0,0,0,0,0,0,0,19,0,21
Jaxom,Jax,,Ruth,blanc,HOMME,562.0,,0,41,0,0,0,126,0,2,232,6,5,4,1368,1179,114,3077
Jaxom,,,,,HOMME,563.0,,0,41,0,0,0,126,0,2,231,6,5,4,1368,1174,114,3071
Jayge,Lilcamp,,,,HOMME,564.0,,0,153,0,0,0,636,0,0,0,0,0,0,0,27,7,823
Jemmy,,,,,HOMME,565.0,,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,51
Jenfa,,,,,FEMME,109.0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Jepson,,,,,HOMME,566.0,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Jerin,,,,,HOMME,567.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Jerint,,,,,HOMME,568.0,,0,0,0,0,0,0,7,0,0,0,51,2,0,0,0,60
Jerrint,,,,,HOMME,569.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Jerry,Mercer,,Manooth,,HOMME,570.0,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Jesken,,,,,HOMME,571.0,,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8
Jess,,,,,,980.0,,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
Jessuan,,,,,,981.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Jez,,,,,HOMME,572.0,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Jim,Tillek,James,,,HOMME,573.0,True,108,78,13,21,5,7,60,7,28,1,3,2,8,35,13,389
Jiro,Akamoto,,,,HOMME,574.0,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Jissamy,,,,,FEMME,110.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
Jivan,,,,,HOMME,575.0,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Joanson,,,,,HOMME,576.0,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
Joe,Millan,,,,,982.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Joël,Lilienkamp,Joel / Lili,,,HOMME,577.0,,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,93
Johnny ,Greene,,,,,983.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jol,,,,,HOMME,578.0,,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,22
Jonno,,,,,,984.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Jora,,,Nemorth,reine,FEMME,111.0,True,0,0,0,0,0,0,33,24,0,0,0,0,0,0,0,57
Josetta,,,,,FEMME,112.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Ju,Adjai,Adjar,,,FEMME,113.0,,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
Jubb,,,,,HOMME,579.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
Jule,,,,,FEMME,114.0,,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,17
Juvana,,,,,FEMME,115.0,,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,58
K’dall,,,Teelarth,bleu,HOMME,580.0,True,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
K’dor,,,,,,985.0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
K’dren,,,Kuzuth,bronze,HOMME,581.0,,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,40
K’drin,,,Buleth,brun,HOMME,582.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
K’lon ,,,Rogeth,bleu,HOMME,583.0,,0,0,0,174,1,0,0,0,0,0,0,0,0,0,0,175
K’nebel,,,Firth,bronze,HOMME,584.0,,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8
K’net,,,Pianth,bronze,HOMME,585.0,,0,0,0,0,0,0,4,40,0,0,0,0,0,0,0,44
K’van,,,Heth,bronze,HOMME,586.0,,0,31,0,0,0,49,0,0,0,0,0,0,1,29,34,144
K’vin,Kev,,Charanth,,HOMME,587.0,,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,298
Kailey,,,,,HOMME,588.0,,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
Kale,,,,,HOMME,589.0,True,0,0,0,0,0,4,25,0,0,0,0,0,0,0,0,29
Kalem,,,,,HOMME,590.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Kaljan,,,,,HOMME,591.0,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
Kalvi,,,,,HOMME,592.0,,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,55
Kami,,,,,FEMME,116.0,,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,31
Kamiana,,,Pelianth,reine,FEMME,117.0,,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,24
Kamina,,,,,FEMME,118.0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Kanadin,K’din,,Bulith,brun,HOMME,593.0,,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Karenchok,,,,,HOMME,594.0,,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,17
Kashman,,,,,HOMME,595.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29
Kasia,,,,,FEMME,119.0,True,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,198
Kathy,Duff,,,or,FEMME,120.0,,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Kayla,,,,,,986.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Keita,,,,,FEMME,121.0,,0,0,0,0,0,4,0,0,0,0,0,0,0,0,39,43
Kenalas,,,,,FEMME,122.0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Kenelas,,,,,FEMME,123.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenjo,Fusaiyuki,,,,Cyborg,1.0,True,175,0,0,0,0,0,0,0,0,0,0,0,0,2,11,188
Kepiru,,,,,HOMME,596.0,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
Ker,,,,,,987.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
Kern,,,,,HOMME,597.0,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
Ketrin,,,,,HOMME,598.0,,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12
Kevelon,,,,,HOMME,599.0,,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7
Kinsale,,,,,HOMME,600.0,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Kinver,,,,,HOMME,601.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Kirnety,,,Fidirth,bronze,HOMME,602.0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Kista,,,,,FEMME,124.0,True,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Kit,Ping,Kitti,,,FEMME,125.0,,113,0,0,0,0,0,0,0,0,0,0,0,0,2,0,115
Kitral,,,,,FEMME,126.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kitrin,,,,,FEMME,127.0,,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,26
