sentence_id,book,part,chapter,pdf_page,start_pdf_page,end_pdf_page,text,text_lemma
28,Le Seigneur des Anneaux,,,3,3,5,"puisqu'ils traitaient de son voyage dans l'Est et de son retour, Aventure qui devait engager tous les Hobbits dans les importants événements de cet Age, ici rapportés.","puisqueil traiter de son voyage dans leEst et de son retour, Aventure qui devoir engager tout le Hobbit dans le important événement de ce Age, ici rapporter."
29,Le Seigneur des Anneaux,,,3,3,5,"Mais maints lecteurs voudront sans doute en savoir dès l'abord davantage sur ce peuple remarquable, certains peuvent aussi ne point posséder le premier livre.","Mais maint lecteur vouloir sans doute en savoir dès leabord davantage sur ce peuple remarquable, certain pouvoir aussi ne poindre posséder le premier livre."
30,Le Seigneur des Anneaux,,,3,3,5,"A l'intention de telles personnes, nous réunissons ici quelques notes sur les points les plus importants de la tradition hobbite, et nous rappelons brièvement la première aventure.","À leintention de tel personne, nous réunir ici quelque note sur le point le plus important de le tradition hobbite, et nous rappeler brièvement le premier aventure."
31,Le Seigneur des Anneaux,,,3,3,5,"Les Hobbits sont un peuple effacé mais très ancien, qui fut plus nombreux dans l'ancien temps que de nos jours, car ils aiment la paix, la tranquillité et une terre bien cultivée: une campagne bien ordonnée et bien mise en valeur était leur retraite favorite.","Le Hobbit être un peuple effacer mais très ancien, qui être plus nombreux dans leancien temps que de notre jour, car il aimer le paix, le tranquillité et un terre bien cultivé: un campagne bien ordonner et bien mettre en valeur être son retraite favorite."
32,Le Seigneur des Anneaux,,,3,3,5,"Ils ne comprennent ni ne comprenaient, et ils n'aiment pas davantage les machines dont la complication dépasse celle d'un soufflet de forge, d'un moulin à eau ou d'un métier à tisser manuel, encore qu'ils fussent habiles au maniement des outils.","Il ne comprendre ni ne comprendre, et il neaimer pas davantage le machine dont le complication dépasser celui deun soufflet de forge, deun moulin à eau ou deun métier à tisser manuel, encore queil être habile au maniement de outil."
33,Le Seigneur des Anneaux,,,3,3,5,"Même dans l'ancien temps, ils se méfiaient des «Grandes Gens», comme ils nous appellent, et à présent où ils nous évitent avec effroi, il devient difficile de les trouver.","Même dans leancien temps, il se méfier un «Grand Gens», comme il nous appeler, et à présent où il nous éviter avec effroi, il devenir difficile de le trouver."
34,Le Seigneur des Anneaux,,,3,3,5,"Ils ont l'oreille fine et l'œil vif, et s'ils ont tendance à l'embonpoint et ne se pressent pas sans nécessité, ils n'en sont pas moins lestes et adroits dans leurs mouvements.","Il avoir leoreille fin et leœil vif, et seil avoir tendance à leembonpoint et ne se pressentir pas sans nécessité, il neen être pas moins leste et adroit dans leur mouvement."
35,Le Seigneur des Anneaux,,,3,3,5,"Ils ont toujours eu l'art de disparaître vivement et en silence quand des Grandes Gens qu'ils ne désirent pas rencontrer viennent par hasard de leur côté, et cet art, ils l'ont développé au point qu'aux Hommes il pourrait paraître magique.","Il avoir toujours avoir leart de disparaître vivement et en silence quand un Grand Gens queil ne désirer pas rencontrer venir par hasard de son côté, et ce art, il leavoir développer au point queà Homme il pouvoir paraître magique."
36,Le Seigneur des Anneaux,,,3,3,5,"Mais les Hobbits n'ont en fait jamais étudié de magie d'aucune sorte, et leur caractère insaisissable est dû uniquement à une habileté professionnelle que l'hérédité et la pratique, ainsi qu'une amitié intime avec la terre, ont rendue inimitable pour les races plus grandes et plus lourdes.","Mais le Hobbit neavoir en fait jamais étudier de magie deaucun sorte, et son caractère insaisissable être devoir uniquement à un habileté professionnel que lehérédité et le pratique, ainsi queun amitié intime avec le terre, avoir rendre inimitable pour le race plus grand et plus lourd."
37,Le Seigneur des Anneaux,,,3,3,5,"Car ce sont de petites personnes, plus menues que les nains: ils sont moins gros et trapus, disons, même s'ils ne sont pas vraiment beaucoup plus courts.","Car ce être de petit personne, plus menu que le nain: il être moins gros et trapu, dison, même seil ne être pas vraiment beaucoup plus court."
38,Le Seigneur des Anneaux,,,3,3,5,"Leur taille est variable et va de 60 cm à 1,20 m selon notre mesure.","Son taille être variable et aller de 60 cm à 1,20 m selon notre mesure."
39,Le Seigneur des Anneaux,,,3,3,5,"Aujourd'hui, ils atteignent rarement 90 cm, mais ils ont diminué, disent-ils, et dans l'ancien temps ils étaient plus grands.","Aujourd'hui, il atteindre rarement 90 cm, mais il avoir diminuer, direil, et dans leancien temps il être plus grand."
40,Le Seigneur des Anneaux,,,3,3,5,"D'après le Livre Rouge, Bandobras Touque (Le Taureau mugissant), cils d'Isengrin II, mesurait 1,40 m et il était capable de monter à cheval.","DEaprès le Livre Rouge, Bandobra Touqu (Le Taureau mugissant), cil deIsengrin II, mesurer 1,40 m et il être capable de monter à cheval."
41,Le Seigneur des Anneaux,,,3,3,5,"Il ne fut dépassé dans toutes les annales hobbites que par deux personnages fameux de l'ancien temps, mais il sera traité de ce curieux sujet dans le présent livre.","Il ne être dépasser dans tout le annale hobbite que par deux personnage fameux de leancien temps, mais il être traiter de ce curieux sujet dans le présent livre."
42,Le Seigneur des Anneaux,,,3,3,5,"Quant aux Hobbits de la Comté, dont il s'agit dans ces récits, ils étaient, du temps de leur paix et de leur prospérité, de joyeuses gens.","Quant aux Hobbit de le Comté, dont il seagir dans ce récit, il être, de temps de son paix et de son prospérité, de joyeux gens."
43,Le Seigneur des Anneaux,,,3,3,5,"Ils se vêtaient de couleurs vives et affectionnaient particulièrement le jaune et le vert, mais ils portaient rarement des chaussures, leurs pieds ayant la plante dure comme du cuir et étant revêtu d'un épais poil frisé, très semblable à leur chevelure, communément brune.","Il se vêtir de couleur vif et affectionner particulièrement le jaune et le vert, mais il porter rarement de chaussure, leur pied avoir le plante dur comme de cuir et être revêtir deun épais poil frisé, très semblable à son chevelure, communément brun."
