Id unique,aliases,phrase,sentence_id,book,mots_cibles,alias_trouves_dans_phrase
216,Dag,"– et ne pouvait pas être dans la terre du champ de courses et des piquets où tant de bêtes étaient mortes, mais Alessan ne voulait pas risquer les rares étalons inestimables que Dag avait emmenés en toute hâte le lendemain de cette maudite Fête.",34474,4.0,mourir,dag
223,David Catarel Dave | David Catarel | Catarel Dave | David Dave | Catarel | David | Dave,"Sorka, Hanrahan, Sean Connell et David Catarel qui, plongé dans l’eau jusqu’au cou, avait regardé, impuissant, sa compagne Lucy Tubberman disparaître sous l’horrible pluie, malgré les efforts frénétiques de leurs dragonets.",4242,1.0,disparaitre,david catarel
231,Deelan,– et Deelan avait répété une fois de plus que l’Atelier des Forgerons laissait mourir de faim ses visiteurs.,97689,13.0,mourir,deelan
231,Deelan,"Deelan ne le harcelait plus au petit déjeuner pour qu’il mange au-delà de sa faim, Dorse avait inexplicablement disparu depuis quelques jours.",98262,13.0,disparaitre,deelan
235,Desdra,"Puis un messager de Desdra m’apporta une demande de fournitures, et je fus soulagée d’avoir un prétexte pour quitter cette chambre endeuillée.",38015,5.0,endeuiller,desdra
242,Domick,Maître Domick aurait préféré la voir disparaître que de lui enseigner quoi que ce soit.,87079,11.0,disparaitre,domick
242,Domick,"Avant que Menolly, effrayée que les lézards-de-feu aient pu disparaître pour de bon, ait pu prévenir maître Robinton, Domick pénétrait dans la pièce au pas de course.",88157,11.0,disparaitre,domick
245,Dorse,"Deelan ne le harcelait plus au petit déjeuner pour qu’il mange au-delà de sa faim, Dorse avait inexplicablement disparu depuis quelques jours.",98262,13.0,disparaitre,dorse
245,Dorse,Dorse avait disparu avant qu’un dernier scandale n’ait contraint Jaxom à le chasser.,128744,15.0,disparaitre,dorse
246,Dowell,"C’est que ces hommes n’auraient aucun scrupule à tuer Dowell, et alors, qui la protégerait maintenant que son parent, le Seigneur Kale, était mort ?",40326,6.0,tuer,dowell
254,Durras,"La réaction de Durras l’avait surpris, mais, durant son long apprentissage, il avait connu de nombreux cas de règles interrompues où la femme avait souffert par la suite de douleurs abdominales violentes et ininterrompues – dont plusieurs cas où la femme était morte, et où son seul recours avait été des applications massives de baume analgésique pour calmer ses souffrances.",13875,2.0,mourir,durras
255,Dushik,"– il allait tuer Readis de ses propres mains, en même temps que Thella et Dushik.",45596,6.0,tuer,dushik
255,Dushik,"— Si Dushik te voyait, il te tuerait sans réfléchir, Jayge.",45613,6.0,tuer,dushik
262,Emily Boll Em | Emily Boll | Emily Em | Boll Em | Emily | Boll | Em,"— Dites-moi, je vous prie, comment des hommes peuvent mourir à Boll Sud alors que ce félin était encore à Ista ?",29185,4.0,mourir,boll
262,Emily Boll Em | Emily Boll | Emily Em | Boll Em | Emily | Boll | Em,"— Alors, comment la maladie est-elle parvenue à Boll Sud si la créature a été tuée à la Fête d’Ista ?",32665,4.0,tuer,boll
265,Eric Hegelman | Hegelman | Eric,"Shih Lao, qui avait conféré l’Empreinte au bronze Firth, arborait en permanence un sourire radieux sur son visage autrefois pensif, Tarrie Chernoff avait cessé de s’excuser pour la moindre peccadille, et le bégaiement d’Otto Hegelman avait complètement disparu.",7794,1.0,disparaitre,hegelman
269,Esselin,Esselin ne se remit pas du choc et mourut quelques jours plus tard d’une hémorragie cérébrale.,131400,15.0,mourir,esselin
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,"— C’est vrai, mais si l’on diffuse partout la façon dont Thella est morte… cela dissuadera les hésitants et nous donnera le temps de respirer, dit F’lar, regardant Piemur d’un air entendu.",49450,6.0,mourir,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,Larna était morte deux jours après la naissance de Fallarnon.,58706,7.0,mourir,fallarnon
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,F’lar les suivit des yeux jusqu’à ce qu’elles disparaissent.,61332,7.0,disparaitre,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,"— J’avais entendu dire que Jora était morte, répliqua Fax, renonçant à la troisième personne, comme si F’lar avait passé une sorte d’épreuve en n’y prêtant pas attention.",61858,8.0,mourir,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,"— Le Fort vient juste de se lever de table, Seigneur F’lar, si… suggéra Fax, dont la voix mourut devant le sourire de refus de F’lar.",61896,8.0,mourir,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,"— Et mourir de faim le reste de l’année, remarqua ironiquement F’lar, laissant son regard errer sur la vallée.",62322,8.0,mourir,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,"F’lar allait vertement répondre, mais sa réplique mourut sur ses lèvres, comme il les regardait, souffle coupé.",65519,8.0,mourir,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,"Maintenant, ses pensées le ramenaient inéluctablement à ce jour d’été où Hath, le dragon-bronze de R’gul, avait pris son vol pour s’accoupler à la grotesque Nemorth, et où R’gul était devenu Chef du Weyr à la place de F’lon, le père décédé de F’lar.",66355,8.0,deceder,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,Sa voix mourut sous le regard accusateur et froid de F’lar.,66871,8.0,mourir,f’lar
277,F’lar Falla Fallarnon | Falla Fallarnon | F’lar Fallarnon | F’lar Falla | Fallarnon | Falla | F’lar,"Instantanément, F’lar et Mnementh disparurent dans le froid, les ténèbres et le calme de l’Interstice.",67044,8.0,disparaitre,f’lar
