ID unique,Noms humains,Second nom,Troisième nom,Quatrième nom,aliases
166,Chaila,Zavior,Kimmage,,Chaila Zavior Kimmage | Chaila Kimmage | Zavior Kimmage | Chaila Zavior | Kimmage | Chaila | Zavior
167,Chaldon,,,,Chaldon
168,Chalkin,,,,Chalkin
169,Chenoa,,,,Chenoa
170,Cherry,Duff,,,Cherry Duff | Cherry | Duff
171,Chesmic,,,,Chesmic
172,Chichis-Fusi,,,,Chichis-Fusi
173,Childon,,,,Childon
174,Chio-Chio,,,,Chio-Chio
175,Chochol,,,,Chochol
176,Chomas,,,,Chomas
177,Chris,MacArdle,Cooney,,Chris MacArdle Cooney | MacArdle Cooney | Chris MacArdle | Chris Cooney | MacArdle | Cooney | Chris
178,Christee,,,,Christee
179,Chuck,Havers,,,Chuck Havers | Havers | Chuck
180,Chuck,Kimmage,,,Chuck Kimmage | Kimmage | Chuck
181,Chung,,,,Chung
182,Ciparis,,,,Ciparis
183,Clagesh,,,,Clagesh
184,Clargesh,,,,Clargesh
185,Clell,,,,Clell
186,Clim,,,,Clim
187,Clisser,Cliss,,,Clisser Cliss | Clisser | Cliss
188,Clostan,,,,Clostan
189,Cobber,Alhinwa,,,Cobber Alhinwa | Alhinwa | Cobber
190,Cogneur,,,,Cogneur
191,Colmin,,,,Colmin
192,Conwy,,,,Conwy
193,Corana,,,,Corana
194,Cording,,,,Cording
195,Corman,,,,Corman
196,Cosira,,,,Cosira
197,Cr’not,,,,Cr’not
198,Creline,,,,Creline
199,Crenden,Cren,,,Crenden Cren | Crenden | Cren
200,Crivelan,Crivellan-aux-doigts-agiles,,,Crivelan Crivellan-aux-doigts-agiles | Crivellan-aux-doigts-agiles | Crivelan
201,Curella,,,,Curella
202,Curmir,,,,Curmir
203,Curran,,,,Curran
204,D’clan,,,,D’clan
205,D’fio,,,,D’fio
206,D’miel,,,,D’miel
207,D’namal,,,,D’namal
208,D’nek,,,,D’nek
209,D’nol,,,,D’nol
210,D’ram,,,,D’ram
211,D’say,,,,D’say
212,D’wer,,,,D’wer
213,Dag,,,,Dag
214,Dalma,,,,Dalma
215,Dalova,,,,Dalova
216,Danegga,,,,Danegga
217,Dangel,,,,Dangel
218,Danja,,,,Danja
219,Dannell,,,,Dannell
